# balls=3,catches=50,detected=44,sampleRate=25,timestamp=1780518612
x,y,z
24,496,-356
-432,1292,164
-840,1964,288
-684,2148,972
-380,1316,1152
-160,684,632
-92,456,172
-52,-236,-24
-224,-1044,148
-40,-876,284
60,-128,500
116,572,652
380,828,884
752,1412,1152
436,1768,1612
88,2100,2140
48,2272,2084
136,2148,2408
468,1876,2164
572,1332,516
156,1188,764
156,-104,636
8,-380,-200
-88,-232,92
-204,40,528
-236,164,624
-304,248,424
60,-500,-584
-172,276,180
-380,68,376
20,512,320
48,836,688
192,876,1284
160,1168,1552
-88,1728,1844
-316,1912,2280
-56,2136,2604
180,1976,2104
348,1320,700
188,1084,820
344,336,444
140,76,-68
-104,-128,-152
-272,-296,36
-200,-224,196
-220,-144,580
-184,-436,468
104,4,72
-388,456,752
-28,380,304
132,972,768
308,876,1268
356,984,1596
268,1284,1628
-12,1572,2012
-84,1656,2024
180,1728,2448
596,1680,2284
612,1264,664
192,1396,632
256,-132,320
-72,-208,-392
-236,-220,-664
-304,-324,-244
-280,-132,336
36,-96,240
332,-8,700
612,104,1112
720,-148,1384
660,504,1232
484,472,1040
312,708,1248
36,1224,1448
-164,1704,1896
-188,1908,2104
32,1928,2536
364,1788,2424
456,1328,712
12,1232,428
56,-228,-252
-208,-232,-824
-208,-176,-560
-36,-204,-44
328,-28,372
748,-116,952
980,-304,352
624,96,1460
336,40,1348
428,160,1096
336,932,1404
148,1480,1448
-20,1844,1808
-48,2068,2044
116,2036,2428
520,1888,2012
496,1452,432
-164,1216,812
192,-80,-72
-16,-48,-240
-124,-284,-188
-168,-148,324
0,-140,340
196,64,448
272,-76,588
272,16,684
236,-52,704
240,456,1216
164,832,1772
236,1008,1908
-92,1688,2308
-164,1928,2660
180,2060,2628
292,1748,1344
208,1148,372
56,900,1276
308,-332,-4
-60,-128,28
-212,-356,40
-296,8,192
-288,-76,-8
-240,76,-104
-244,124,64
-180,240,72
-20,332,440
292,116,824
588,416,1236
540,600,1892
148,1036,2140
-336,1520,2280
-444,1708,2788
120,1864,2700
304,1460,1160
16,1408,684
320,328,716
332,-68,-284
68,48,-236
-108,-304,-20
-116,-104,292
-196,-100,708
-392,-272,868
-88,-416,164
0,524,300
-392,288,960
-60,880,1004
4,1188,1456
-236,1376,2016
-244,1668,2508
-8,1996,2436
208,1708,1680
216,1188,332
-144,980,564
-60,-252,-120
-316,-188,-228
-432,-216,-36
-488,-280,88
-208,-132,180
192,208,708
512,352,1160
608,48,628
504,324,1212
188,964,1832
-248,1396,1612
-404,1704,1940
-108,1804,2224
256,1796,1568
264,1324,272
-184,1092,828
-220,-216,200
-296,-252,-284
-324,-88,52
-172,228,548
52,216,904
-112,64,904
-192,16,600
-12,40,328
-88,496,788
-252,1144,1540
-336,1720,1868
-296,1576,2356
-104,1704,2132
188,1428,908
72,1268,116
-88,52,660
-152,-720,-732
12,-16,-132
32,-104,1284
-4,4,1228
56,-76,416
196,476,716
-120,804,1220
4,1104,1396
-100,1508,1956
0,1456,2152
232,1484,2112
436,1288,1228
284,880,24
-112,664,680
100,-372,-128
-92,68,100
-132,-116,452
-188,-44,816
-200,72,708
-8,324,208
-44,360,532
-16,628,1144
-36,676,1608
16,1000,1756
24,1000,1936
100,964,1972
336,1160,2232
636,1108,1668
584,780,340
116,760,484
128,-400,-132
60,8,-460
-108,32,8
-164,292,656
-96,160,592
-348,144,1328
-292,372,1040
-76,416,792
-20,472,1064
44,408,1160
148,380,1224
216,736,1228
100,752,1472
124,864,1636
204,1108,1776
400,1180,2040
732,1144,1356
688,868,-148
108,224,544
128,-476,-404
-4,144,-248
-368,372,1192
-392,92,1068
-740,468,1384
-124,268,444
-336,644,344
-120,192,192
-180,164,448
-152,228,660
-32,444,1020
24,820,1388
8,1032,1628
96,1280,2192
464,1504,2412
708,1508,1348
372,1108,-480
-308,180,152
-180,-456,-1460
-228,52,-448
-40,536,1584
232,484,2108
428,-96,1224
248,408,884
220,264,552
248,-32,692
232,280,880
308,692,1056
164,1144,1336
-124,1296,1700
-112,1528,1964
144,1628,2236
516,1420,1860
604,1108,272
68,696,444
128,-372,-4
-84,204,-32
-488,88,480
-564,660,940
-360,376,908
-244,424,624
-168,292,252
-280,128,144
-248,-92,220
-140,116,240
-16,384,544
160,652,888
308,972,1168
264,956,1388
276,948,1408
224,1132,1424
228,1196,1324
140,1288,1484
84,1428,1792
384,1424,2372
860,1448,2312
740,864,596
100,1200,1236
620,-660,-104
284,-308,-416
-140,-348,-64
-496,-240,684
-496,284,616
-640,620,1048
-248,360,156
-544,656,444
-1084,536,764
-768,448,300
-616,516,276
-480,596,412
-408,664,392
-452,568,472
-452,488,548
-344,488,596
-172,416,592
-84,420,724
16,456,868
140,604,1024
232,820,1160
184,1024,1396
48,1200,1656
-92,1496,1912
-48,1616,2152
284,1620,2668
624,1280,1420
508,1124,508
352,48,844
572,-16,-484
172,-440,-460
-428,-64,448
-632,-188,324
-848,352,768
-276,76,88
-432,328,408
-1104,84,1044
-916,488,396
-580,408,-40
-524,536,196
-444,548,372
-280,512,360
-148,484,480
-36,564,664
120,592,892
252,684,1008
388,724,1016
432,796,1272
436,876,1360
372,1036,1404
244,1276,1368
68,1416,1556
120,1480,1972
572,1476,2636
1012,1396,2116
888,784,404
256,444,1280
760,-260,-108
236,-156,256
-168,-416,68
-560,-116,224
-724,120,340
-524,212,544
-860,672,444
-1000,476,440
-880,424,144
-804,440,208
-644,372,176
-488,464,100
-388,404,232
-392,420,344
-316,460,488
-156,560,732
-16,564,820
116,580,1068
160,668,1212
184,776,1348
208,900,1600
228,1300,2028
176,1580,2192
336,1544,2840
792,1336,2648
744,1068,696
260,716,1584
756,-428,-264
364,-288,-692
-140,-248,-32
-276,-320,172
-444,-56,480
-644,356,608
-844,356,932
-484,160,444
-836,488,532
-1180,236,664
-784,384,32
-608,468,44
-552,548,224
-464,560,296
-436,496,396
-308,528,500
-168,444,660
-48,536,740
148,636,880
256,776,1080
372,872,1288
420,1016,1532
356,1168,1524
228,1332,1384
40,1376,1436
-20,1396,1824
360,1476,2304
728,1376,1684
576,980,500
224,796,840
372,-16,656
164,-400,-112
-152,-84,-92
-440,128,56
-688,164,348
-828,276,628
-452,16,352
-936,400,764
-1008,416,584
-740,284,-92
-648,416,-12
-524,552,148
-368,572,252
-292,584,404
-172,552,568
-104,644,684
-92,660,820
-128,696,1076
-44,892,1140
20,1092,1264
-16,1324,1484
-64,1316,1780
72,1400,1980
352,1448,1968
520,1132,884
284,840,-12
-68,-28,464
124,-188,-384
144,304,188
-336,420,1476
-364,440,1024
-868,436,1048
-472,128,416
-372,120,-36
-240,92,152
-236,260,420
-148,260,488
-52,484,836
108,608,880
184,888,1204
168,1120,1688
188,1232,2092
372,1292,2232
572,1464,2212
572,1128,1044
240,1124,4
-80,-80,160
36,-200,-424
-136,124,20
-508,552,792
-536,500,1144
28,24,456
-164,-120,1044
-288,76,968
-256,324,736
-220,244,496
-164,256,512
-116,308,636
96,380,580
216,652,784
332,748,1000
292,980,1456
264,1004,1840
212,1244,1924
184,1388,1836
284,1244,2144
768,1216,2652
984,1036,1092
376,552,72
136,-188,0
140,280,248
-172,-252,112
-216,76,596
-496,376,1180
-220,192,56
-584,664,548
-744,788,480
-772,496,48
-868,452,96
-820,424,88
-660,380,80
-668,360,168
-628,492,208
-608,484,320
-476,488,456
-256,476,564
-28,480,760
180,552,936
388,552,996
404,636,1228
288,640,1188
192,788,1288
8,1056,1368
-172,1380,1392
-320,1608,1772
-160,1720,2388
380,1756,2984
640,1392,1892
484,1024,1380
656,636,1624
712,36,476
32,440,832
-136,-452,796
-336,-580,780
-420,-604,556
-312,-640,116
-156,-56,-204
-336,-860,-380
-432,-656,-348
-340,-536,-676
-328,-144,-836
-360,76,-808
-516,264,-608
-572,496,-540
-564,696,-404
-496,736,-228
-356,768,-48
-144,788,156
28,704,548
160,808,1052
264,920,1236
232,952,1276
180,960,1292
108,1040,1312
60,1116,1444
52,1212,1676
276,1244,2140
696,1320,2456
736,904,1092
200,760,412
100,-32,428
