# balls=5,catches=22,detected=47,sampleRate=25,timestamp=1780993975,countMode=watch_hand
x,y,z
108,576,-880
0,-16,-972
-12,-28,-992
-12,-36,-960
-12,-44,-992
-12,-60,-996
-20,-88,-1008
4,-128,-996
12,-100,-988
-4,-152,-948
4,-156,-952
44,-148,-960
48,-228,-952
96,-240,-980
144,-236,-996
152,-136,-1056
180,-120,-996
184,132,-956
180,484,-956
60,588,-884
-4,668,-832
-60,824,-768
-140,836,-532
-256,852,-316
-308,820,-128
-384,740,-16
-376,724,112
-372,628,284
-344,628,456
-288,624,516
-224,824,496
-212,916,572
-192,896,652
-212,880,668
-212,872,676
-216,1032,772
-220,1320,680
-312,1876,1052
-308,2348,1524
-124,2296,1684
100,1780,1552
352,992,1024
672,300,420
632,-520,760
348,-2220,1176
544,-1404,700
412,-456,816
256,1132,1484
-204,2728,1464
-336,3008,1780
-720,3524,2404
-132,2984,2352
596,1944,736
612,840,1096
1184,-2588,-48
1232,-1792,184
836,-928,940
540,180,1260
112,1016,1624
-864,2264,2028
-1700,3076,2252
-1456,3264,2904
-432,2244,2552
848,768,1296
1792,-580,1232
1284,-704,-336
-92,-924,-1460
-188,-440,-1152
-404,-72,-96
-28,-40,60
236,620,608
148,1104,1612
-152,1632,2040
-1016,2020,2368
-984,2384,3180
-208,1980,3164
788,1224,1060
908,1240,1596
1740,-596,144
524,-852,468
-144,-1904,972
-352,-1500,1052
68,-1308,428
-572,660,924
120,1592,376
-1084,2792,1168
-380,2808,3676
192,3124,3764
404,1664,704
-132,1164,288
-16,-1212,-1860
-8,-940,-1556
676,-968,36
1636,-652,1680
2288,-472,1988
1296,136,2352
744,464,1304
-620,1596,1176
-1872,2228,1308
-1500,3628,2744
-488,3400,2700
284,2868,932
1076,1068,484
1388,-580,-1524
532,-1304,-972
160,-1588,-28
616,-1392,1736
1064,-756,2480
1564,144,1352
800,-4,1996
316,312,1584
-700,2360,824
-1044,3196,1192
-1040,4424,2280
184,3764,2052
804,2400,304
1004,976,912
1348,-1548,-928
1284,-1176,-24
1376,-1680,1336
404,-1488,1576
124,-552,828
-588,760,1696
-888,2140,1692
-900,2660,2304
-780,3404,3616
-148,3248,2372
316,1916,156
36,860,56
176,-956,-1824
180,-728,-984
888,-624,412
1580,-400,1488
1460,-724,1828
1364,-732,1028
892,476,1520
120,864,1632
-984,2456,1656
-1388,3056,2284
-1140,3788,2920
-224,3320,2536
336,1836,544
304,1448,840
924,-1176,-716
920,-948,-1332
788,-1072,-160
1144,-592,388
868,-504,1952
748,-636,1388
740,748,1736
-196,1120,2144
-908,1752,1788
-1168,2836,2124
-1440,2980,2852
-296,2812,3000
628,1520,924
1048,1216,828
1280,-616,404
1100,-788,-344
536,-1072,-144
120,-956,152
128,-692,384
336,-428,260
356,968,1620
-1136,1884,2700
-1696,2524,2620
-1084,3036,4192
-32,2228,2244
960,1364,172
960,904,792
1364,-704,-1280
836,-1188,-772
812,-804,248
668,-796,1460
556,-672,1752
584,400,2012
-552,1824,2208
-1440,2592,2260
-1520,3220,3708
-308,2904,2764
556,2076,464
1008,1388,464
1484,-800,-1220
844,-1072,-816
772,-1312,188
504,-844,1688
536,-120,1804
968,-104,1832
812,708,1992
80,1664,1896
-1000,2396,1568
-1172,3320,2368
-432,3572,2812
284,2252,1152
708,1728,788
1400,132,184
1100,-704,-452
740,-1328,-232
236,-1200,352
-8,-1132,920
116,-816,816
992,612,1132
48,1440,2644
-532,2356,2020
-1312,2972,2528
-644,3376,3376
116,2268,1476
604,1604,556
984,192,728
1304,-1000,-712
808,-892,-172
236,-1164,244
-104,-904,824
-24,-580,712
292,576,1048
-212,1280,2256
-520,2128,1884
-1100,2148,2548
-908,2580,3676
104,1980,2336
620,1604,664
1008,848,640
1192,64,-440
772,-580,-156
424,-948,148
176,-860,996
-144,-1112,1316
416,-764,656
-44,1160,1624
-1048,2272,1568
-1256,2812,2448
-852,3200,4040
-124,2700,2364
408,1812,428
348,780,340
260,-1700,-976
20,-1012,-780
180,-780,-72
652,-188,856
1016,-52,1556
1620,-116,2264
1452,-216,1176
868,688,1548
-384,1596,1292
-1672,3036,1652
-1452,4196,3516
-724,3952,2456
96,2936,104
528,1376,136
564,-1616,-1716
608,-1152,-696
1632,-1276,1796
1712,-788,3052
1276,-440,1028
820,320,1532
392,920,1644
-780,2108,1188
-1652,3156,1792
-1332,4036,2996
-324,3236,1724
444,2264,84
1500,120,-560
1492,-1708,-1336
1324,-1996,68
960,-692,1924
392,-84,2468
100,632,1792
52,760,1972
-124,1812,1792
-876,2436,1784
-828,2928,2676
112,3108,2680
728,1940,1000
988,1568,880
1312,-636,-224
880,-456,-512
524,-1048,20
392,-908,700
-20,-500,1476
220,-816,436
188,836,996
-84,1212,1460
-432,2452,1316
-1388,2592,2724
-1044,2864,3628
-304,2288,2252
804,1312,476
1024,1296,908
1348,-1136,-916
600,-952,-492
140,-780,544
-112,-1092,1324
284,-712,1176
-180,368,1492
-212,912,1620
-508,2152,1480
-1100,2480,2860
-344,3096,3888
180,2416,2100
608,1628,464
716,820,680
724,-652,-480
216,-556,-276
-60,-552,152
104,-428,140
208,-388,360
276,-444,920
488,-716,664
640,712,1240
8,1116,2376
-496,2172,2104
-1496,2696,3304
-964,3520,3388
-140,2708,1552
576,1652,512
1164,924,52
1176,-1592,-876
804,-1612,-108
748,-952,1200
564,-476,2000
824,-128,1244
52,1100,2020
-796,1992,1508
-1556,3404,2800
-872,3544,3400
-212,2748,1108
620,1652,256
1408,-844,-1592
956,-1188,-928
1000,-1300,160
864,-696,1784
756,228,2228
268,148,2056
344,688,1448
-216,1616,1340
-1188,2496,1752
-1040,3088,2904
-384,3160,2644
560,1800,668
884,1204,980
1364,-1324,-716
776,-676,-492
268,-1068,260
160,-1352,580
360,-128,788
-172,128,1476
-432,1064,1444
-488,1940,1664
-904,2760,3264
-88,3120,3676
116,2428,1528
588,1672,408
732,276,436
612,-860,-660
320,-896,-448
260,-900,100
308,-524,584
328,-240,884
452,-32,1320
528,368,1676
756,636,1308
-312,1792,2024
-1524,2780,2168
-1168,3520,3620
-184,3016,2340
536,2224,180
1208,696,144
1276,-1504,-1836
812,-1152,-292
656,-888,1332
520,-584,2224
900,-392,1520
604,592,2068
128,820,1840
-612,1884,1152
-1416,2560,1628
-812,3376,2880
-104,3052,1876
200,2004,400
784,1256,680
1224,-1420,-1208
612,-952,-888
412,-1432,200
592,-728,948
568,40,1824
884,16,1512
636,828,2356
124,964,2212
-1060,1944,1912
-1492,2900,2696
-652,3224,2652
200,2188,1084
600,1476,856
1340,-504,-560
1044,-828,-888
776,-1264,-148
404,-732,932
124,-568,988
212,-92,976
200,752,1788
-160,1612,1884
